age	job	marital	education	default	balance	housing	loan	contact	duration	campaign	previous	y
38	management	single	tertiary	no	424	yes	no	unknown	104	1	0	no
47	blue-collar	married	unknown	no	306	yes	no	unknown	13	1	0	no
40	blue-collar	single	unknown	no	24	yes	no	unknown	185	1	0	no
46	services	married	primary	no	179	yes	no	unknown	1778	1	0	no
32	admin.	married	tertiary	no	0	yes	no	unknown	138	1	0	no
49	blue-collar	married	unknown	no	154	yes	no	unknown	357	1	0	no
51	management	married	tertiary	no	6530	yes	no	unknown	91	1	0	no
60	retired	married	tertiary	no	100	no	no	unknown	528	1	0	no
59	management	divorced	tertiary	no	59	yes	no	unknown	273	1	0	no
55	technician	married	secondary	no	1205	yes	no	unknown	158	2	0	no
35	blue-collar	single	secondary	no	12223	yes	yes	unknown	177	1	0	no
57	blue-collar	married	secondary	no	5935	yes	yes	unknown	258	1	0	no
31	services	married	secondary	no	25	yes	yes	unknown	172	1	0	no
54	management	married	secondary	no	282	yes	yes	unknown	154	1	0	no
55	blue-collar	married	primary	no	23	yes	no	unknown	291	1	0	no
53	technician	married	secondary	no	384	yes	no	unknown	176	1	0	no
55	services	divorced	secondary	no	91	no	no	unknown	349	1	0	no
55	services	divorced	secondary	yes	1	yes	no	unknown	208	1	0	no
45	admin.	single	secondary	no	206	yes	no	unknown	193	1	0	no
47	services	divorced	secondary	no	164	no	no	unknown	212	1	0	no
59	admin.	married	secondary	no	2343	yes	no	unknown	1042	1	0	yes
51	blue-collar	married	primary	no	173	yes	no	unknown	529	2	0	no
56	admin.	married	secondary	no	45	no	no	unknown	1467	1	0	yes
41	technician	married	secondary	no	1270	yes	no	unknown	1389	1	0	yes
46	management	divorced	secondary	no	16	yes	yes	unknown	188	2	0	no
57	retired	married	secondary	no	486	yes	no	unknown	180	2	0	no
42	management	single	secondary	no	50	no	no	unknown	48	1	0	no
30	technician	married	secondary	no	152	yes	yes	unknown	213	2	0	no
60	admin.	married	secondary	no	290	yes	no	unknown	583	1	0	no
60	blue-collar	married	unknown	no	54	yes	no	unknown	221	1	0	no
55	blue-collar	married	secondary	no	383	no	no	unknown	287	1	0	no
60	retired	married	tertiary	no	81	yes	no	unknown	101	1	0	no
39	technician	married	secondary	no	0	yes	no	unknown	203	1	0	no
44	blue-collar	married	secondary	no	-674	yes	no	unknown	257	1	0	no
53	blue-collar	married	primary	no	90	no	no	unknown	124	1	0	no
52	blue-collar	married	primary	no	128	yes	no	unknown	229	1	0	no
59	blue-collar	married	primary	no	179	yes	no	unknown	55	3	0	no
27	technician	single	tertiary	no	0	yes	no	unknown	400	1	0	no
47	technician	married	tertiary	no	151	yes	no	unknown	190	1	0	no
34	admin.	married	secondary	no	61	no	yes	unknown	21	1	0	no
59	retired	single	secondary	no	30	yes	no	unknown	514	1	0	no
45	management	married	tertiary	no	523	yes	no	unknown	849	2	0	no
46	technician	divorced	secondary	no	79	no	no	unknown	144	1	0	no
56	self-employed	married	primary	no	-34	yes	yes	unknown	212	2	0	no
36	blue-collar	married	primary	no	448	yes	no	unknown	286	1	0	no
59	retired	divorced	primary	no	81	yes	no	unknown	107	1	0	no
44	blue-collar	married	secondary	no	144	yes	no	unknown	247	2	0	no
41	admin.	married	secondary	no	351	yes	no	unknown	518	1	0	no
59	management	divorced	tertiary	no	262	no	no	unknown	178	1	0	no
57	technician	married	primary	no	0	no	no	unknown	98	1	0	no
56	technician	divorced	unknown	no	56	yes	no	unknown	439	1	0	no
51	blue-collar	married	secondary	no	26	yes	no	unknown	79	1	0	no
34	admin.	married	unknown	no	3	yes	no	unknown	120	3	0	no
43	services	married	secondary	no	41	yes	yes	unknown	127	2	0	no
52	technician	married	tertiary	no	7	no	yes	unknown	175	1	0	no
33	technician	single	secondary	no	105	yes	no	unknown	262	2	0	no
31	blue-collar	married	secondary	no	0	yes	no	unknown	143	1	0	no
55	management	married	unknown	no	1185	no	no	unknown	677	1	0	no
32	admin.	single	secondary	no	217	yes	no	unknown	345	1	0	no
38	technician	single	secondary	no	1685	yes	no	unknown	185	1	0	no
55	admin.	single	secondary	no	802	yes	yes	unknown	100	2	0	no
23	blue-collar	married	secondary	no	94	yes	no	unknown	193	1	0	no
32	technician	single	secondary	no	0	yes	no	unknown	136	1	0	no
46	blue-collar	married	secondary	no	265	yes	no	unknown	541	1	0	no
53	housemaid	divorced	primary	no	947	yes	no	unknown	163	1	0	no
34	self-employed	single	secondary	no	3	yes	no	unknown	301	1	0	no
57	unemployed	married	tertiary	no	42	no	no	unknown	46	1	0	no
59	blue-collar	married	secondary	no	57	yes	no	unknown	98	1	0	no
33	services	married	secondary	no	22	yes	no	unknown	71	1	0	no
56	blue-collar	divorced	primary	no	8	yes	no	unknown	157	2	0	no
43	services	married	primary	no	3	yes	no	unknown	186	2	0	no
54	blue-collar	married	primary	no	348	yes	no	unknown	579	2	0	no
51	blue-collar	married	unknown	no	-19	yes	no	unknown	163	2	0	no
26	student	single	secondary	no	0	yes	no	unknown	610	2	0	no
39	management	married	secondary	no	18	yes	no	unknown	85	1	0	no
51	blue-collar	married	unknown	no	1883	yes	no	unknown	57	1	0	no
60	retired	divorced	secondary	no	216	yes	no	unknown	238	1	0	no
52	blue-collar	married	secondary	no	782	yes	no	unknown	93	3	0	no
48	blue-collar	married	secondary	no	904	yes	no	unknown	128	2	0	no
48	services	married	unknown	no	1705	yes	no	unknown	107	1	0	no
39	technician	single	tertiary	no	47	yes	no	unknown	181	1	0	no
47	services	single	secondary	no	176	yes	no	unknown	303	2	0	no
40	blue-collar	married	secondary	no	1225	yes	no	unknown	558	5	0	no
26	admin.	single	secondary	no	82	yes	no	unknown	228	1	0	no
52	management	married	tertiary	no	271	yes	no	unknown	99	1	0	no
54	technician	married	secondary	no	1378	yes	no	unknown	240	1	0	no
54	admin.	married	tertiary	no	184	no	no	unknown	673	2	0	yes
50	blue-collar	married	primary	no	0	no	no	unknown	233	3	0	no
35	blue-collar	married	secondary	no	0	yes	no	unknown	1056	1	0	no
53	entrepreneur	married	unknown	no	19	yes	no	unknown	252	1	0	no
35	retired	single	primary	no	434	no	no	unknown	138	1	0	no
48	unemployed	married	secondary	no	41	yes	no	unknown	179	2	0	no
54	services	married	secondary	no	214	yes	no	unknown	458	2	0	no
31	services	married	tertiary	no	37	yes	no	unknown	313	1	0	no
35	technician	divorced	secondary	no	787	yes	no	unknown	683	2	0	no
35	services	married	secondary	no	59	yes	no	unknown	1077	1	0	no
38	technician	married	secondary	no	253	yes	no	unknown	416	1	0	no
36	admin.	married	tertiary	no	211	yes	no	unknown	146	2	0	no
58	retired	married	primary	no	235	yes	no	unknown	167	1	0	no
40	services	divorced	unknown	no	4384	yes	no	unknown	315	1	0	no
54	management	married	secondary	no	4080	no	no	unknown	140	1	0	no
34	blue-collar	single	secondary	no	53	yes	yes	unknown	346	1	0	no
33	management	married	tertiary	no	377	yes	no	unknown	217	1	0	no
55	management	married	tertiary	no	73	yes	no	unknown	142	2	0	no
42	admin.	married	secondary	no	445	yes	no	unknown	67	1	0	no
34	blue-collar	married	secondary	no	243	yes	no	unknown	291	1	0	no
33	blue-collar	single	secondary	no	307	yes	no	unknown	309	2	0	no
38	services	married	secondary	no	155	yes	no	unknown	248	1	0	no
43	management	married	tertiary	no	400	yes	no	unknown	256	1	0	no
61	blue-collar	divorced	primary	no	1428	yes	no	unknown	82	2	0	no
47	admin.	married	secondary	no	219	yes	no	unknown	577	1	0	no
48	self-employed	married	tertiary	no	7	yes	no	unknown	286	1	0	no
44	blue-collar	married	secondary	no	575	yes	no	unknown	477	1	0	no
35	student	single	unknown	no	298	yes	no	unknown	611	2	0	no
35	services	married	secondary	no	0	yes	no	unknown	471	1	0	no
50	services	married	secondary	no	5699	yes	no	unknown	381	2	0	no
41	management	married	tertiary	no	176	yes	yes	unknown	42	1	0	no
41	management	married	tertiary	no	517	yes	no	unknown	251	1	0	no
39	services	single	unknown	no	257	yes	no	unknown	408	1	0	no
42	retired	married	secondary	no	56	yes	no	unknown	215	1	0	no
53	retired	married	secondary	no	330	yes	no	unknown	216	2	0	no
59	housemaid	divorced	primary	no	195	no	no	unknown	366	2	0	no
36	services	married	secondary	no	301	yes	no	unknown	210	1	0	no
54	blue-collar	married	primary	no	-41	yes	no	unknown	288	1	0	no
40	technician	married	tertiary	no	483	yes	no	unknown	168	1	0	no
47	unknown	married	unknown	no	28	no	no	unknown	338	2	0	no
39	management	married	tertiary	no	378	yes	yes	unknown	127	2	0	no
55	retired	married	secondary	no	0	no	yes	unknown	136	1	0	no
43	technician	divorced	unknown	no	205	yes	no	unknown	1419	1	0	no
58	management	married	unknown	no	1065	yes	no	unknown	213	3	0	no
47	blue-collar	married	primary	no	-12	yes	no	unknown	18	1	0	no
31	services	married	secondary	no	388	yes	no	unknown	730	2	0	no
57	entrepreneur	married	secondary	no	294	yes	no	unknown	746	2	0	no
53	blue-collar	married	unknown	no	1827	no	no	unknown	121	1	0	no
55	blue-collar	married	primary	no	627	yes	no	unknown	247	1	0	no
53	admin.	divorced	secondary	no	315	yes	no	unknown	181	2	0	no
44	admin.	divorced	secondary	no	66	yes	no	unknown	206	1	0	no
49	blue-collar	divorced	primary	no	-9	yes	yes	unknown	389	1	0	no
46	technician	married	secondary	no	349	yes	yes	unknown	127	1	0	no
38	admin.	married	secondary	no	0	no	no	unknown	151	1	0	no
43	technician	married	secondary	no	434	yes	no	unknown	117	1	0	no
49	management	married	tertiary	no	3237	yes	no	unknown	232	3	0	no
42	management	married	unknown	no	275	no	no	unknown	408	2	0	no
40	management	married	tertiary	no	207	yes	no	unknown	39	1	0	no
39	blue-collar	married	secondary	no	483	yes	no	unknown	282	1	0	no
49	admin.	married	secondary	no	428	yes	no	unknown	50	1	0	no
53	blue-collar	married	secondary	no	0	yes	yes	unknown	181	1	0	no
34	services	single	secondary	no	0	yes	no	unknown	142	1	0	no
33	technician	divorced	secondary	no	140	yes	no	unknown	227	1	0	no
50	management	single	tertiary	no	297	yes	no	unknown	119	1	0	no
59	entrepreneur	divorced	secondary	no	901	yes	no	unknown	73	3	0	no
36	services	married	secondary	no	143	yes	yes	unknown	350	1	0	no
40	blue-collar	married	secondary	no	475	yes	no	unknown	332	2	0	no
37	technician	married	secondary	no	275	yes	no	unknown	132	1	0	no
42	management	divorced	tertiary	no	742	yes	no	unknown	58	3	0	no
41	entrepreneur	married	primary	no	236	yes	no	unknown	151	1	0	no
30	student	single	tertiary	no	25	yes	no	unknown	89	2	0	no
37	management	single	tertiary	no	600	yes	no	unknown	152	1	0	no
39	admin.	divorced	secondary	no	-349	yes	no	unknown	611	2	0	no
41	blue-collar	married	primary	no	183	yes	yes	unknown	110	2	0	no
40	blue-collar	married	primary	no	0	yes	no	unknown	463	1	0	no
42	management	single	tertiary	no	0	yes	yes	unknown	562	2	0	yes
40	blue-collar	divorced	primary	no	0	yes	no	unknown	962	1	0	no
57	technician	married	secondary	no	1078	yes	no	unknown	10	4	0	no
56	entrepreneur	divorced	secondary	no	155	no	no	unknown	118	3	0	no
37	admin.	married	secondary	no	190	yes	no	unknown	92	2	0	no
59	retired	married	secondary	no	319	yes	no	unknown	143	3	0	no
39	services	divorced	secondary	no	-185	yes	no	unknown	189	3	0	no
49	services	married	secondary	no	47	no	no	unknown	234	2	0	no
38	services	single	secondary	no	570	yes	no	unknown	75	2	0	no
36	self-employed	married	tertiary	no	19	no	no	unknown	189	2	0	no
50	blue-collar	married	primary	no	61	yes	no	unknown	621	3	0	no
41	admin.	married	secondary	no	-62	yes	yes	unknown	55	2	0	no
30	blue-collar	single	secondary	no	0	yes	no	unknown	5	2	0	no
33	admin.	single	secondary	no	352	yes	no	unknown	225	2	0	no
47	admin.	married	secondary	no	368	yes	no	unknown	125	2	0	no
50	technician	single	tertiary	no	339	yes	no	unknown	2	3	0	no
32	blue-collar	married	secondary	no	1331	yes	no	unknown	286	2	0	no
54	technician	single	unknown	no	447	yes	no	unknown	742	2	0	no
54	management	married	tertiary	no	0	no	no	unknown	120	2	0	no
34	technician	married	secondary	no	19	yes	no	unknown	362	4	0	no
56	technician	divorced	primary	no	13	yes	no	unknown	357	2	0	no
31	blue-collar	single	secondary	no	3	yes	no	unknown	200	2	0	no
24	student	single	secondary	no	82	yes	no	unknown	204	2	0	no
42	blue-collar	divorced	primary	no	28	yes	no	unknown	126	3	0	no
57	technician	married	secondary	no	792	yes	no	unknown	65	2	0	no
42	blue-collar	married	unknown	no	408	yes	no	unknown	107	2	0	no
51	admin.	married	secondary	no	531	yes	no	unknown	267	2	0	no
57	retired	married	secondary	no	211	yes	no	unknown	248	2	0	no
50	technician	married	secondary	no	1234	yes	no	unknown	205	2	0	no
55	blue-collar	married	secondary	no	89	yes	no	unknown	106	3	0	no
44	blue-collar	married	secondary	no	129	yes	yes	unknown	189	2	0	no
43	management	married	unknown	no	0	yes	no	unknown	105	2	0	no
56	admin.	married	secondary	no	353	yes	no	unknown	106	2	0	no
54	technician	married	unknown	no	851	yes	no	unknown	108	2	0	no
37	services	divorced	secondary	no	398	yes	yes	unknown	214	2	0	no
46	admin.	married	secondary	no	-358	yes	no	unknown	358	2	0	no
51	technician	single	secondary	no	0	yes	no	unknown	364	2	0	no
40	retired	single	primary	no	0	no	no	unknown	136	2	0	no
42	blue-collar	married	secondary	no	490	yes	no	unknown	386	2	0	no
48	management	married	secondary	no	161	yes	no	unknown	224	3	0	no
31	admin.	single	secondary	no	98	yes	no	unknown	196	2	0	no
55	management	single	tertiary	no	115	no	no	unknown	111	4	0	no
40	blue-collar	single	secondary	no	436	yes	no	unknown	231	3	0	no
47	technician	married	tertiary	no	831	yes	no	unknown	316	3	0	no
57	technician	married	unknown	no	206	yes	no	unknown	216	3	0	no
41	blue-collar	married	secondary	no	290	yes	no	unknown	240	2	0	no
48	blue-collar	married	secondary	no	1	no	no	unknown	669	3	0	no
42	blue-collar	married	unknown	no	57	yes	no	unknown	425	2	0	no
30	blue-collar	single	secondary	no	-457	yes	no	unknown	143	2	0	no
58	management	single	tertiary	no	1387	yes	no	unknown	174	5	0	no
45	management	divorced	tertiary	no	24598	yes	no	unknown	313	3	0	no
42	admin.	single	secondary	no	1022	yes	no	unknown	146	2	0	no
53	technician	married	secondary	no	56	yes	yes	unknown	152	2	0	no
51	admin.	single	secondary	yes	-2	no	no	unknown	402	3	0	no
41	blue-collar	single	secondary	no	842	yes	no	unknown	144	3	0	no
43	management	divorced	secondary	no	693	yes	no	unknown	124	3	0	no
40	blue-collar	divorced	secondary	no	-333	yes	no	unknown	183	2	0	no
50	blue-collar	married	primary	no	1533	yes	no	unknown	325	2	0	no
34	management	married	tertiary	no	46	yes	no	unknown	39	4	0	no
53	services	married	unknown	no	18	no	no	unknown	503	2	0	no
45	technician	married	secondary	no	44	yes	no	unknown	95	4	0	no
39	blue-collar	married	primary	no	-100	yes	no	unknown	680	2	0	no
44	services	married	tertiary	no	510	yes	no	unknown	421	4	0	no
46	management	single	tertiary	no	187	yes	no	unknown	113	2	0	no
45	blue-collar	married	secondary	no	66	yes	no	unknown	808	2	0	no
34	admin.	married	secondary	no	560	yes	no	unknown	198	3	0	no
59	unknown	divorced	unknown	no	27	no	no	unknown	347	3	0	no
44	blue-collar	single	secondary	no	34	yes	no	unknown	404	4	0	no
33	entrepreneur	single	tertiary	no	1068	yes	no	unknown	396	2	0	no
40	blue-collar	married	secondary	no	211	yes	no	unknown	216	4	0	no
27	services	married	secondary	no	8	yes	no	unknown	88	3	0	no
48	admin.	married	secondary	no	126	yes	yes	unknown	379	2	0	no
59	admin.	married	secondary	no	230	yes	no	unknown	190	3	0	no
46	technician	married	tertiary	no	841	yes	no	unknown	158	1	0	no
38	admin.	divorced	secondary	no	308	yes	no	unknown	102	1	0	no
34	services	married	secondary	no	22	yes	no	unknown	344	1	0	no
38	admin.	married	secondary	no	46	yes	yes	unknown	195	1	0	no
37	blue-collar	married	secondary	no	1293	no	no	unknown	652	1	0	no
48	blue-collar	married	unknown	no	131	yes	no	unknown	189	1	0	no
49	blue-collar	single	secondary	no	143	yes	no	unknown	83	1	0	no
38	admin.	single	secondary	no	393	no	no	unknown	184	2	0	no
33	management	married	tertiary	no	0	yes	no	unknown	290	1	0	no
38	blue-collar	married	secondary	no	757	yes	no	unknown	133	1	0	no
49	services	married	secondary	no	245	yes	yes	unknown	318	1	0	no
40	management	married	secondary	no	8486	no	no	unknown	260	3	0	no
43	admin.	married	unknown	no	350	no	no	unknown	437	1	0	no
38	blue-collar	married	secondary	no	20	yes	no	unknown	402	1	0	no
57	technician	married	unknown	no	345	yes	no	unknown	125	1	0	no
32	unemployed	married	secondary	no	10	yes	no	unknown	501	4	0	no
58	blue-collar	divorced	unknown	no	29	yes	no	unknown	253	1	0	no
37	technician	married	tertiary	no	8730	yes	no	unknown	149	1	0	no
46	technician	divorced	tertiary	no	477	yes	no	unknown	114	1	0	no
27	admin.	married	secondary	no	4	yes	no	unknown	243	1	0	no
43	blue-collar	married	secondary	no	1205	yes	no	unknown	769	2	0	no
32	technician	single	secondary	no	0	yes	yes	unknown	135	3	0	no
40	admin.	single	secondary	no	263	yes	no	unknown	231	1	0	no
38	admin.	married	secondary	no	1	no	no	unknown	76	1	0	no
34	blue-collar	married	secondary	no	283	no	yes	unknown	199	1	0	no
47	blue-collar	married	primary	no	206	yes	no	unknown	152	1	0	no
42	housemaid	married	primary	no	17	yes	no	unknown	124	1	0	no
29	self-employed	single	tertiary	no	16	yes	no	unknown	43	1	0	no
50	services	married	secondary	no	206	yes	no	unknown	154	1	0	no
58	retired	married	tertiary	no	0	no	no	unknown	393	1	0	no
46	blue-collar	divorced	primary	no	1927	yes	no	unknown	241	3	0	no
38	technician	married	secondary	no	284	yes	no	unknown	483	1	0	no
46	blue-collar	married	secondary	no	1660	yes	no	unknown	259	1	0	no
32	services	single	secondary	no	406	yes	no	unknown	227	1	0	no
51	blue-collar	married	primary	no	230	yes	no	unknown	673	1	0	no
39	admin.	single	secondary	no	-25	yes	no	unknown	576	1	0	no
48	admin.	married	secondary	no	182	yes	no	unknown	180	2	0	no
36	entrepreneur	married	tertiary	no	1169	yes	no	unknown	168	2	0	no
34	admin.	divorced	secondary	no	67	yes	no	unknown	90	1	0	no
40	technician	married	secondary	no	77	no	no	unknown	505	1	0	no
43	unemployed	married	secondary	no	0	yes	no	unknown	245	1	0	no
33	technician	married	secondary	yes	72	yes	no	unknown	623	1	0	no
49	management	single	tertiary	no	163	yes	no	unknown	496	3	0	no
32	management	single	tertiary	no	151	yes	no	unknown	118	1	0	no
39	admin.	single	secondary	no	113	yes	no	unknown	342	1	0	no
38	technician	single	tertiary	no	9	yes	no	unknown	185	3	0	no
43	management	married	secondary	no	375	yes	no	unknown	196	2	0	no
39	services	married	secondary	no	1142	yes	no	unknown	276	1	0	no
40	blue-collar	married	secondary	no	217	yes	no	unknown	195	1	0	no
55	admin.	married	secondary	no	131	yes	no	unknown	744	1	0	no
42	management	married	tertiary	no	1680	yes	no	unknown	765	1	0	no
40	blue-collar	married	primary	no	46	yes	no	unknown	119	1	0	no
55	admin.	married	secondary	no	183	yes	no	unknown	150	1	0	no
35	management	single	tertiary	no	560	yes	no	unknown	181	1	0	no
58	technician	divorced	secondary	no	469	no	no	unknown	196	1	0	no
35	admin.	married	secondary	no	530	yes	no	unknown	149	1	0	no
49	services	married	primary	no	61	yes	no	unknown	246	1	0	no
34	technician	single	tertiary	no	242	yes	no	unknown	112	1	0	no
36	blue-collar	married	secondary	no	139	yes	no	unknown	309	2	0	no
24	self-employed	single	secondary	no	0	yes	no	unknown	278	1	0	no
34	technician	married	secondary	no	367	yes	no	unknown	140	1	0	no
51	admin.	divorced	secondary	no	228	yes	no	unknown	136	1	0	no
39	technician	single	unknown	no	45248	yes	no	unknown	1623	1	0	yes
50	self-employed	married	unknown	no	-84	yes	no	unknown	101	1	0	no
32	services	single	secondary	no	310	yes	no	unknown	144	1	0	no
42	blue-collar	married	unknown	no	132	yes	no	unknown	238	1	0	no
40	services	married	secondary	no	71	no	no	unknown	79	1	0	no
37	management	married	tertiary	no	231	yes	yes	unknown	451	2	0	no
34	blue-collar	married	secondary	no	270	yes	yes	unknown	159	1	0	no
44	blue-collar	married	secondary	no	274	yes	yes	unknown	409	1	0	no
40	admin.	single	secondary	no	-109	yes	yes	unknown	170	1	0	no
37	technician	married	secondary	no	1	yes	no	unknown	608	1	0	yes
33	blue-collar	single	secondary	yes	-60	no	no	unknown	243	1	0	no
35	blue-collar	married	secondary	no	89	yes	no	unknown	145	2	0	no
58	blue-collar	divorced	secondary	no	-11	no	no	unknown	112	1	0	no
43	blue-collar	married	secondary	no	-509	yes	no	unknown	124	1	0	no
39	unemployed	married	primary	no	408	yes	no	unknown	53	1	0	no
36	services	single	primary	no	58	yes	no	unknown	134	1	0	no
57	retired	single	secondary	no	1640	no	yes	unknown	204	4	0	no
36	admin.	single	secondary	no	20	yes	no	unknown	186	1	0	no
55	blue-collar	married	secondary	no	52	yes	no	unknown	182	1	0	no
44	self-employed	married	tertiary	no	292	yes	no	unknown	162	1	0	no
44	services	divorced	secondary	no	424	yes	no	unknown	27	1	0	no
39	housemaid	single	primary	no	109	yes	no	unknown	699	3	0	no
46	blue-collar	married	unknown	no	1044	yes	no	unknown	43	1	0	no
39	blue-collar	married	secondary	no	983	yes	no	unknown	97	1	0	no
34	admin.	married	secondary	no	869	no	no	unknown	1677	1	0	yes
40	blue-collar	married	primary	no	668	yes	no	unknown	283	2	0	no
31	management	single	secondary	no	301	yes	no	unknown	82	1	0	no
37	admin.	single	secondary	no	140	yes	no	unknown	310	1	0	no
51	blue-collar	married	primary	no	1127	yes	no	unknown	47	1	0	no
41	technician	married	secondary	no	871	yes	no	unknown	145	1	0	no
41	technician	married	secondary	no	767	yes	yes	unknown	204	1	0	no
30	services	single	secondary	no	209	yes	no	unknown	30	2	0	no
54	management	divorced	primary	no	0	no	no	unknown	472	1	0	no
59	management	divorced	tertiary	no	-76	yes	yes	unknown	264	1	0	no
47	technician	married	unknown	no	178	yes	no	unknown	169	1	0	no
40	blue-collar	married	primary	no	-66	yes	no	unknown	288	1	0	no
29	blue-collar	married	secondary	no	1	yes	no	unknown	215	1	0	no
36	blue-collar	married	secondary	no	0	yes	no	unknown	337	1	0	no
55	unemployed	married	tertiary	no	5345	no	no	unknown	278	1	0	no
30	blue-collar	divorced	secondary	no	-209	yes	no	unknown	188	2	0	no
39	blue-collar	divorced	secondary	no	42	yes	no	unknown	226	2	0	no
50	blue-collar	divorced	secondary	no	41	yes	no	unknown	190	1	0	no
44	blue-collar	married	secondary	no	-99	yes	no	unknown	111	2	0	no
37	technician	single	secondary	no	17	yes	no	unknown	164	1	0	no
37	management	single	tertiary	no	230	yes	yes	unknown	374	1	0	no
29	blue-collar	married	secondary	no	9	yes	no	unknown	349	1	0	no
41	blue-collar	married	secondary	no	946	yes	no	unknown	325	1	0	no
45	blue-collar	married	primary	no	1297	yes	no	unknown	233	2	0	no
57	retired	divorced	secondary	no	-331	yes	no	unknown	531	1	0	no
48	blue-collar	single	secondary	no	44	yes	no	unknown	153	1	0	no
60	retired	married	secondary	yes	15	no	no	unknown	80	1	0	no
26	admin.	single	secondary	no	712	yes	no	unknown	232	1	0	no
58	retired	married	secondary	no	5435	yes	no	unknown	118	1	0	no
34	admin.	married	secondary	no	507	yes	no	unknown	190	1	0	no
55	unemployed	divorced	secondary	no	387	yes	no	unknown	918	1	0	yes
41	blue-collar	married	primary	no	0	yes	yes	unknown	238	1	0	no
49	entrepreneur	married	secondary	no	167	yes	yes	unknown	198	3	0	no
31	technician	married	secondary	no	17	yes	yes	unknown	120	1	0	no
46	management	single	unknown	no	1527	yes	no	unknown	269	1	0	no
42	management	married	tertiary	no	744	no	no	unknown	157	1	0	no
29	management	single	tertiary	no	0	yes	no	unknown	211	1	0	no
43	blue-collar	married	secondary	no	1335	yes	no	unknown	371	2	0	no
38	management	married	secondary	no	517	yes	no	unknown	288	2	0	no
46	management	married	tertiary	no	459	yes	no	unknown	221	1	0	no
48	management	divorced	unknown	no	549	yes	no	unknown	427	1	0	no
30	admin.	divorced	secondary	no	83	yes	yes	unknown	310	1	0	no
44	blue-collar	married	primary	no	213	no	no	unknown	158	1	0	no
31	housemaid	married	primary	no	203	yes	no	unknown	604	3	0	no
42	services	single	secondary	no	518	yes	no	unknown	198	1	0	no
40	management	single	tertiary	no	3877	yes	no	unknown	145	1	0	no
52	admin.	married	secondary	no	1236	yes	no	unknown	247	1	0	no
45	blue-collar	divorced	secondary	no	756	yes	no	unknown	179	2	0	no
48	blue-collar	married	secondary	no	157	yes	no	unknown	73	1	0	no
45	blue-collar	married	primary	no	-66	yes	no	unknown	263	2	0	no
34	blue-collar	married	unknown	no	245	yes	no	unknown	13	1	0	no
